mechanism,region_pair,message_size_bytes,rate_rps,end_to_end_latency_ms,vcpu,memory_mb,source
pubsub,us-east1->us-east1,1048576,0.1,68.581,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,83.74900000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,98.61,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,89.211,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,111.155,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,104.104,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,85.544,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,108.722,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,79.788,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,105.32,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,105.74300000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.675,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,101.632,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,106.495,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,78.86500000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,115.26599999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,79.976,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,90.73,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,76.386,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,77.769,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
